title,type,rated,year,added_at,genre,language,country,imdb_rating
First Kid,movie,PG,1996,"November 12, 2019","Family, Comedy",English,USA,5.2
Fish Hooks,series,TV-G,2010–2014,"April 3, 2020","Animation, Adventure, Comedy, Family",English,USA,4.6
Flight of the Navigator,movie,PG,1986,"November 12, 2019","Adventure, Comedy, Family, Sci-Fi",English,USA,6.9
Float,movie,PG,2019,"November 12, 2019","Animation, Short, Family, Fantasy",English,USA,7.4
Flowers and Trees,movie,APPROVED,1932,"November 12, 2019","Animation, Short, Comedy",English,USA,7.5
Flubber,movie,PG,1997,"November 12, 2019","Comedy, Family, Sci-Fi",English,USA,5.3
For the Birds,movie,G,2000,"November 12, 2019","Animation, Short, Comedy, Family",None,USA,8.0
Frank and Ollie,movie,PG,1995,"November 12, 2019",Documentary,English,USA,7.8
Frankenweenie,movie,PG,2012,"April 1, 2020","Animation, Comedy, Family, Horror, Sci-Fi",English,USA,6.9
Frankenweenie,movie,PG,1984,"November 12, 2019","Short, Comedy, Drama, Sci-Fi",English,USA,7.3
Freaky Friday,movie,G,1976,"November 12, 2019","Comedy, Family, Fantasy",English,USA,6.3
Freaky Friday,movie,PG,2003,"November 12, 2019","Comedy, Family, Fantasy, Music, Romance","English, Mandarin",USA,6.1
Freaky Friday,movie,TV-G,2018,"November 12, 2019","Comedy, Fantasy, Musical",English,USA,3.7
Free Solo,movie,PG-13,2018,"November 12, 2019","Documentary, Adventure, Sport",English,USA,8.2
Frenemies,movie,TV-G,2012,"November 12, 2019","Comedy, Drama, Family",English,USA,5.0
Frozen,movie,PG,2013,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical","English, Norwegian",USA,7.5
Frozen II,movie,PG,2019,"March 14, 2020","Animation, Adventure, Comedy, Family, Fantasy, Musical",English,USA,7.0
Full-Court Miracle,movie,TV-G,2003,"November 12, 2019","Drama, Family, Sport",English,USA,5.7
Fun and Fancy Free,movie,Approved,1947,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,6.6
G-Force,movie,PG,2009,"March 15, 2020","Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Spanish, English",USA,5.1
Gargoyles,series,TV-PG,1994–1996,"November 12, 2019","Animation, Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Mystery, Romance, Thriller",English,USA,8.1
Geek Charming,movie,TV-G,2011,"November 12, 2019","Comedy, Drama, Family, Romance",English,USA,6.4
Genius,movie,TV-G,1999,"November 12, 2019","Comedy, Family, Romance, Sci-Fi",English,USA,6.3
George of the Jungle,movie,PG,1997,"May 1, 2020","Action, Adventure, Comedy, Family, Romance","English, Spanish",USA,5.4
George of the Jungle 2,movie,PG,2003,"December 20, 2019","Adventure, Comedy, Family",English,"USA, Australia",3.3
Get a Clue,movie,TV-G,2002,"November 12, 2019","Comedy, Crime, Family, Mystery",English,USA,5.1
Girl Meets World,series,TV-G,2014–2017,"November 12, 2019","Comedy, Drama, Family",English,USA,7.2
Glory Road,movie,PG,2006,"December 1, 2019","Biography, Drama, Sport",English,USA,7.2
Go Figure,movie,TV-G,2005,"November 12, 2019","Comedy, Drama, Family, Sport",English,USA,5.7
Going to the Mat,movie,G,2004,"November 12, 2019","Drama, Family, Sport",English,USA,6.8
Good Luck Charlie,series,TV-G,2010–2014,"November 12, 2019","Comedy, Drama, Family",English,USA,7.0
"Good Luck Charlie, It's Christmas!",movie,TV-G,2011,"November 12, 2019","Comedy, Drama, Family","English, Korean",USA,6.4
Goof Troop,series,TV-Y,1992–1993,"November 12, 2019","Animation, Adventure, Comedy, Family, Music",English,USA,6.8
Gotta Kick It Up!,movie,TV-G,2002,"November 12, 2019","Comedy, Drama, Family",English,USA,5.8
The Grasshopper and the Ants,movie,Approved,1934,"November 12, 2019","Family, Comedy, Animation, Musical, Short",English,USA,7.3
Great Migrations,series,TV-PG,2010–,"November 12, 2019",Documentary,English,USA,8.1
Greyfriars Bobby: The True Story of a Dog,movie,Approved,1961,"November 12, 2019","Drama, Family",English,USA,7.3
Gus,movie,G,1976,"November 12, 2019","Comedy, Family, Sport",English,USA,5.9
Hacksaw,movie,TV-PG,1971,"January 1, 2020",Family,English,USA,6.2
Halloweentown,movie,TV-G,1998,"November 12, 2019","Adventure, Comedy, Family, Fantasy",English,USA,6.8
Halloweentown High,movie,TV-G,2004,"November 12, 2019","Comedy, Family, Fantasy",English,USA,6.2
Halloweentown II: Kalabar's Revenge,movie,TV-PG,2001,"November 12, 2019","Adventure, Family, Fantasy",English,USA,6.5
Handy Manny,series,TV-Y,2006–2013,"November 12, 2019","Animation, Family","English, Spanish","USA, Canada",5.6
Hannah Montana,series,TV-G,2006–2011,"November 12, 2019","Comedy, Family, Music",English,USA,5.0
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,movie,G,2008,"November 12, 2019","Documentary, Music",English,USA,2.3
Hannah Montana: The Movie,movie,G,2009,"November 12, 2019","Comedy, Drama, Family, Music, Romance",English,USA,4.4
Hatching Pete,movie,TV-G,2009,"November 12, 2019","Comedy, Family",English,USA,5.4
Hawaiian Holiday,movie,PASSED,1937,"November 12, 2019","Animation, Short, Comedy, Family, Sport",English,USA,7.2
Heavyweights,movie,PG,1995,"November 12, 2019","Comedy, Drama, Family, Sport",English,USA,6.6
Henry Hugglemonster,series,TV-Y,2013–,"December 1, 2019","Animation, Fantasy","English, Korean","Ireland, UK, USA, South Korea, Canada",5.1
Herbie Goes Bananas,movie,G,1980,"November 12, 2019","Adventure, Comedy, Family, Fantasy","English, Spanish",USA,5.0
Herbie Goes to Monte Carlo,movie,G,1977,"November 12, 2019","Action, Adventure, Comedy, Crime, Family, Romance, Sport","English, French",USA,5.7
Herbie Rides Again,movie,G,1974,"November 12, 2019","Comedy, Family, Fantasy, Romance",English,USA,5.7
Herbie Fully Loaded,movie,G,2005,"November 12, 2019","Adventure, Comedy, Family, Fantasy, Romance, Sport",English,USA,4.8
Hercules,movie,G,1997,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","English, Spanish, Greek","USA, France",7.3
High School Musical,movie,TV-G,2006,"November 12, 2019","Comedy, Drama, Family, Music, Musical, Romance","English, Spanish",USA,5.4
High School Musical 2,movie,TV-G,2007,"November 12, 2019","Comedy, Drama, Family, Music, Musical, Romance",English,USA,5.0
High School Musical 3,movie,G,2008,"November 12, 2019","Comedy, Drama, Family, Music, Musical, Romance",English,USA,4.8
High School Musical: The Musical - The Series,series,TV-PG,2019–,"November 12, 2019","Comedy, Musical",English,USA,7.3
High School Musical: The Musical: The Series: The Special,movie,TV-G,2019,"December 20, 2019",Documentary,English,USA,7.8
Hocus Pocus,movie,PG,1993,"November 12, 2019","Comedy, Family, Fantasy","English, French",USA,6.9
